identifier,VARIABLE_COSTS_IN_EURO,REVENUES_IN_EURO,PRODUCTION_IN_MWH,CONTRIBUTION_MARGIN_IN_EURO
19700100025,194289.73696625978,2880617.092578529,102257.7562980315,2686327.355612269
19790100024,1237975.9156709043,17758889.15268637,651566.271405739,16520913.237015463
20200100041,10102868.543861575,144419236.3244775,5317299.2336113565,134316367.78061593
20200100042,10008224.27403127,144324592.05464718,5267486.460016458,134316367.7806159
20200100056,9795377.282830197,144111745.0634461,5155461.727805367,134316367.7806159
20200100057,9914881.07965867,144231248.8602746,5218358.462978248,134316367.78061596
18980300088,5679654.64051479,6177356.549339689,164673.07991451275,497701.90882489923
19720300087,19439642.68712279,21143117.261657495,563623.3250682292,1703474.5745347068
19721700100,34249.85520372093,39531.32177484848,700.0,5281.466571127552
19730300086,19439642.68712279,21143117.261657495,563623.3250682292,1703474.5745347068
19750300085,40694432.733585365,44260441.25557819,1179874.1292843954,3566008.521992825
19791400097,18122786.68199935,109642282.02161895,2990259.8025298933,91519495.33961959
19800300084,2927657.031193191,3184204.406876129,84883.03088376948,256547.3756829379
19820300082,6030973.484257974,6559461.078164825,174859.0436205651,528487.5939068515
19822800090,10734.162123933433,11231.359755843408,198.87905276399073,497.1976319099758
19840300081,9895480.765432985,10762610.895241315,286904.6443871408,867130.129808329
19841700099,36696.27343255814,42354.987615909085,750.0,5658.714183350945
19870300080,13174456.64036936,14328919.830942579,381973.63897696254,1154463.1905732192
19900300079,3513188.43743183,3821045.288251355,101859.63706052334,307856.85081952484
19910300078,7611908.281102297,8278931.457877935,220695.88029780058,667023.176775638
19920300077,30096314.280666005,32733621.302686606,872597.55748515,2637307.0220206007
19930300076,61480797.65505702,66868292.54439871,1782543.6485591587,5387494.88934169
19940300031,52170848.29586267,56742522.53053261,1512615.6103487718,4571674.234669946
19940300032,4684251.249909105,5094727.051001806,135812.84941403114,410475.80109270103
19940300034,34546352.96807966,37573612.001138315,1001619.7644284796,3027259.0330586582
19940300074,21606108.89020575,23499428.52274583,626436.7679222185,1893319.6325400807
19940300075,62300541.623791106,67759869.77832402,1806310.8972066138,5459328.154532917
19941700098,2348.561499683721,2710.7192074181817,48.0,362.1577077344605
19950300030,17565942.187159147,19105226.441256773,509298.1853026167,1539284.2540976256
19960300029,19849514.671489835,21588905.87862015,575506.9493919569,1739391.2071303166
19980300028,127470187.13815153,138640259.87538666,3695807.164679322,11170072.737235129
20000300027,203179397.96480745,220983785.83720332,5890882.3433336,17804387.872395873
20010300026,77290145.62350024,84062996.3415298,2240912.0153315137,6772850.718029559
20032800089,27908.821522226932,29201.535365192867,517.085537186376,1292.7138429659353
99992600009,0.0,0.0,0.0,0.0
19551200096,0.0,783167.121649778,29235.36,783167.121649778
19761200095,0.0,615345.5955819683,23126.4,615345.5955819683
19781200093,0.0,67128.61042712392,2522.016,67128.61042712392
19892400132,41015.34578190309,648953.6016041184,30381.737616224505,607938.2558222152
19922100112,0.0,12279.923406906912,633.0026163395281,12279.923406906912
19942400131,171251.45188495136,2704327.5178108485,126852.92732218618,2533076.065925897
19952400130,95900.24088079885,1514422.8377993014,71037.21546725839,1418522.5969185026
19961200092,0.0,559405.086892703,21023.999999999993,559405.086892703
19962300119,1799723.6743835788,19111210.65234405,666564.32384577,17311486.977960475
19962400129,314450.9843279237,4975310.945631573,232926.65505772122,4660859.9613036495
19992100111,0.0,28068.39635864438,1519.9999999999993,28068.39635864438
20002100110,0.0,14735.908088288295,794.5956011536028,14735.908088288295
20012400128,276878.9544324507,4397349.355005245,205095.52180181534,4120470.400572794
20032100109,0.0,66662.44135178035,3609.9999999999977,66662.44135178035
20032300118,1090139.3074840342,10884796.413435346,403755.29906816076,9794657.105951311
20032400126,143046.81062712817,2270830.7060048818,105960.60046453938,2127783.895377754
20042100108,0.0,220863.1938470828,11939.524549835127,220863.1938470828
20042300117,1114955.0663260075,12048525.789248407,412946.3208614842,10933570.7229224
20052100107,0.0,996077.2157773925,53940.99999999997,996077.2157773925
20052300115,4923023.279759774,50479567.95860311,1823341.9554665831,45556544.678843334
20052400125,979382.4206064413,15468577.517702574,725468.4597084752,14489195.097096132
20061200091,0.0,100692.91564068673,3784.320000000001,100692.91564068673
20062100106,0.0,8363171.665283055,452894.44999999966,8363171.665283055
20062400124,114998.11859697783,1817225.2348991805,85183.7915533169,1702227.1163022027
20072100104,0.0,4666423.522867798,252702.84999999983,4666423.522867798
20072400123,230534.19101793927,3675517.6406771615,170766.06742069576,3444983.4496592223
20082100103,0.0,7275380.96440379,393986.84999999974,7275380.96440379
20082300114,4986040.104502186,62083576.10198543,1846681.520185995,57097535.997483246
20082400122,1314098.6604049467,20801897.19426152,973406.4151147752,19487798.533856574
20092100102,0.0,3427852.9052994438,184724.26464260885,3427852.9052994438
20092300113,11031646.711798912,96867769.64418621,4085795.0784440413,85836122.9323873
20092400121,1265710.3168917457,19996963.465725116,937563.1976975893,18731253.14883337
20202100035,0.0,17542747.724152733,946992.274988505,17542747.724152733
20202100036,0.0,17542747.724152733,928484.5588004115,17542747.724152733
20202100037,0.0,17542747.724152733,949413.5766954122,17542747.724152733
20202100038,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100039,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100040,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100043,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100044,0.0,17542747.724152733,910858.3976562099,17542747.724152733
20202100047,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100048,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100050,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100051,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100053,0.0,17542747.724152733,948909.1664831954,17542747.724152733
20202100054,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100058,0.0,17542747.724152733,937754.8471460241,17542747.724152733
20202100059,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100063,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20202100064,0.0,17542747.724152733,949846.3127454274,17542747.724152733
20202100101,0.0,4417263.876941658,236900.79262951305,4417263.876941658
20202300045,8805464.100830525,84733038.56556942,3261283.0003076014,75927574.46473889
20202300046,7307664.828214289,83235239.29295318,2706542.528968254,75927574.46473889
20202300060,10052427.835777028,85980002.30051592,3723121.4206581577,75927574.46473889
20202300061,9328919.728024192,85256494.19276308,3455155.454823775,75927574.46473888
20202400049,2274552.055148868,36048899.60082751,1684853.3741843465,33774347.54567864
20202400052,2281348.8896200657,36055696.4352987,1689888.0663852338,33774347.54567864
20202400055,2278937.4640681455,36053285.00974678,1688101.8252356632,33774347.54567864
20202400062,2264776.760748913,36039124.30642755,1677612.4153695651,33774347.54567864
20202400065,2256677.164061683,36031024.70974032,1671612.7141197654,33774347.54567864
20202400120,913690.6599639567,14423429.678235412,676807.8962695976,13509739.018271456
20212100066,0.0,17542747.724152733,949999.9999999994,17542747.724152733
20212100067,0.0,17542747.724152733,942630.7028774797,17542747.724152733
20212400068,2280622.9386240244,36054970.48430266,1689350.3249066847,33774347.54567864
