AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR;ReceivedMoneyInEUR
20150100021;946079977;486640.58825199865;;;
20150100021;946080005;;2879.530108;5471.1072052;
20150100021;946083577;2879.530108;;;
20150100021;946083605;;2879.530108;5471.1072052;
20150100021;946087177;2879.530108;;;
20150100021;946087205;;2879.530108;5471.1072052;
20150100021;946090777;2879.530108;;;
20150100021;946090805;;2879.530108;5471.1072052;
20150100021;946094377;2879.530108;;;
20150100021;946094405;;2879.530108;5471.1072052;
20150100021;946097977;2879.530108;;;
20150100021;946098005;;2879.530108;5471.1072052;
20150100021;946101577;2879.530108;;;
20150100021;946101605;;2879.530108;5471.1072052;
20150100021;946105177;2879.530108;;;
20150100021;946105205;;2879.530108;5471.1072052;
20150100021;946108777;2879.530108;;;
20150100021;946108805;;2879.530108;5471.1072052;
20150100021;946112377;2879.530108;;;
20150100021;946112405;;2879.530108;5471.1072052;
20150100021;946115977;2879.530108;;;
20150100021;946116005;;2879.530108;5471.1072052;
20150100021;946119577;2879.530108;;;
20150100021;946119605;;2879.530108;5471.1072052;
20150100021;946123177;2879.530108;;;
20150100021;946123205;;2879.530108;5471.1072052;
20150100021;946126777;2879.530108;;;
20150100021;946126805;;2879.530108;5471.1072052;
20150100021;946130377;2879.530108;;;
20150100021;946130405;;2879.530108;5471.1072052;
20150100021;946133977;2879.530108;;;
20150100021;946134005;;2879.530108;5471.1072052;
20150100021;946137577;2879.530108;;;
20150100021;946137605;;2879.530108;5471.1072052;
20150100021;946141177;2879.530108;;;
20150100021;946141205;;2879.530108;5471.1072052;
20150100021;946144777;2879.530108;;;
20150100021;946144805;;2879.530108;5471.1072052;
20150100021;946148377;2879.530108;;;
20150100021;946148405;;2879.530108;5471.1072052;
20150100021;946151977;2879.530108;;;
20150100021;946152005;;2879.530108;5471.1072052;
20150100021;946155577;2879.530108;;;
20150100021;946155605;;2879.530108;5471.1072052;
20150100021;946159177;2879.530108;;;
20150100021;946159205;;2879.530108;5471.1072052;
20150100021;946162777;2879.530108;;;
20150100021;946162805;;2879.530108;5471.1072052;
20150100021;946166377;2879.530108;;;
20150100021;946166405;;2879.530108;5471.1072052;
20150100021;946169977;2879.530108;;;
20150100021;946170005;;2879.530108;5471.1072052;
20150100021;946173577;2879.530108;;;
20150100021;946173605;;2879.530108;5471.1072052;
20150100021;946177177;2879.530108;;;
20150100021;946177205;;2879.530108;5471.1072052;
20150100021;946180777;2879.530108;;;
20150100021;946180805;;2879.530108;5471.1072052;
20150100021;946184377;2879.530108;;;
20150100021;946184405;;2879.530108;5471.1072052;
20150100021;946187977;2879.530108;;;
20150100021;946188005;;2879.530108;5471.1072052;
20150100021;946191577;2879.530108;;;
20150100021;946191605;;2879.530108;5471.1072052;
20150100021;946195177;2879.530108;;;
20150100021;946195205;;2879.530108;5471.1072052;
20150100021;946198777;2879.530108;;;
20150100021;946198805;;2879.530108;5471.1072052;
20150100021;946202377;2879.530108;;;
20150100021;946202405;;2879.530108;5471.1072052;
20150100021;946205977;2879.530108;;;
20150100021;946206005;;2879.530108;5471.1072052;
20150100021;946209577;2879.530108;;;
20150100021;946209605;;2879.530108;5471.1072052;
20150100021;946213177;2879.530108;;;
20150100021;946213205;;2879.530108;5471.1072052;
20150100021;946216777;2879.530108;;;
20150100021;946216805;;2879.530108;5471.1072052;
