AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
5;946079999;53309.9;
5;946080004;;0.0
5;946083599;53292.0;
5;946083604;;0.0
5;946087199;53292.0;
5;946087204;;0.0
5;946090799;48412.2;
5;946090804;;0.0
5;946094399;46170.2;
5;946094404;;0.0
5;946097999;45140.5;
5;946098004;;0.0
5;946101599;43309.6;
5;946101604;;0.0
5;946105199;39913.0;
5;946105204;;0.0
5;946108799;39621.1;
5;946108804;;0.0
5;946112399;40410.0;
5;946112404;;0.0
5;946115999;42979.7;
5;946116004;;0.0
5;946119599;45775.7;
5;946119604;;0.0
5;946123199;49261.4;
5;946123204;;0.0
5;946126799;50266.5;
5;946126804;;0.0
5;946130399;49272.5;
5;946130404;;0.0
5;946133999;48887.0;
5;946134004;;0.0
5;946137599;48944.9;
5;946137604;;0.0
5;946141199;52241.2;
5;946141204;;0.0
5;946144799;57582.3;
5;946144804;;0.0
5;946148399;58987.5;
5;946148404;;0.0
5;946151999;58083.8;
5;946152004;;0.0
5;946155599;56038.9;
5;946155604;;0.0
5;946159199;55950.9;
5;946159204;;0.0
5;946162799;57234.6;
5;946162804;;0.0
5;946166399;53545.0;
5;946166404;;0.0
5;946169999;50135.0;
5;946170004;;0.0
5;946173599;48273.0;
5;946173604;;0.0
5;946177199;47167.5;
5;946177204;;0.0
5;946180799;46715.1;
5;946180804;;0.0
5;946184399;47579.8;
5;946184404;;0.0
5;946187999;49702.7;
5;946188004;;0.0
5;946191599;54326.2;
5;946191604;;0.0
5;946195199;61694.3;
5;946195204;;0.0
5;946198799;66615.3;
5;946198804;;0.0
5;946202399;69150.5;
5;946202404;;0.0
5;946205999;71294.5;
5;946206004;;0.0
5;946209599;73287.0;
5;946209604;;0.0
5;946213199;73508.7;
5;946213204;;0.0
5;946216799;72631.7;
5;946216804;;0.0
5;946220399;71408.2;
5;946220404;;0.0
5;946223999;70950.2;
5;946224004;;0.0
5;946227599;72289.6;
5;946227604;;0.0
5;946231199;75499.0;
5;946231204;;0.0
5;946234799;72983.9;
5;946234804;;0.0
5;946238399;72873.6;
5;946238404;;0.0
5;946241999;68584.4;
5;946242004;;0.0
5;946245599;66620.9;
5;946245604;;0.0
5;946249199;66288.8;
5;946249204;;0.0
5;946252799;61196.2;
5;946252804;;0.0
5;946256399;57756.2;
5;946256404;;0.0
5;946259999;55313.5;
5;946260004;;0.0
5;946263599;54247.0;
5;946263604;;0.0
5;946267199;54032.0;
5;946267204;;0.0
5;946270799;54575.8;
5;946270804;;0.0
5;946274399;55683.4;
5;946274404;;0.0
