AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
2;946079999;25067.27633733518;;;
2;946080004;;25067.27633733518;8.498757253505573e-14;
2;946083599;23813.318179048703;;;
2;946083604;;23813.318179048703;0.0;
2;946087199;23650.78063245293;;;
2;946087204;;23650.78063245293;0.0;
2;946090799;23828.829979958122;;;
2;946090804;;23828.829979958122;0.0;
2;946094399;22038.15270930452;;;
2;946094404;;22038.15270930452;1.5517587215185813e-12;
2;946097999;21273.63830880409;;;
2;946098004;;21273.63830880409;1.6729950758076484e-12;
2;946101599;19962.428843209073;;;
2;946101604;;19962.428843209073;1.1899370377932428e-12;
2;946105199;20385.589014216286;;;
2;946105204;;20385.589014216286;1.839178809248665e-11;
2;946108799;26243.276639343363;;;
2;946108804;;26243.276639343363;3.860461950111471e-11;
2;946112399;27659.31905598093;;;
2;946112404;;27659.31905598093;0.0;
2;946115999;27745.20126006733;;;
2;946116004;;27745.20126006733;2.0710655412869983e-11;
2;946119599;28749.449369970815;;;
2;946119604;;28749.449369970815;3.764105693804254e-11;
2;946123199;27584.07887620708;;;
2;946123204;;27584.07887620708;0.0;
2;946126799;23288.04692315624;;;
2;946126804;;23288.04692315624;3.8932634893740214e-11;
2;946130399;16431.8366916111;;;
2;946130404;;16431.8366916111;0.0;
2;946133999;11033.997107536867;;;
2;946134004;;11033.997107536867;0.0;
2;946137599;9489.610375735123;;;
2;946137604;;9489.610375735123;8.749112545558546e-13;
2;946141199;9001.359058030768;;;
2;946141204;;9001.359058030768;2.924882558374975e-13;
2;946144799;9797.93860360572;;;
2;946144804;;9797.93860360572;6.611378111642807e-14;
2;946148399;9802.967963583093;;;
2;946148404;;9802.967963583093;3.885780586188048e-16;
2;946151999;9108.455061720078;;;
2;946152004;;9108.455061720078;8.976708265606703e-13;
2;946155599;8566.809409999958;;;
2;946155604;;8566.809409999958;0.0;
2;946159199;8417.89172779216;;;
2;946159204;;8417.89172779216;0.0;
2;946162799;8097.908528663898;;;
2;946162804;;8097.908528663898;4.1466829969749597e-13;
2;946166399;8213.361524169095;;;
2;946166404;;8213.361524169095;1.8706702853421575e-12;
2;946169999;8223.392467227337;;;
2;946170004;;8223.392467227337;9.603429163007604e-15;
2;946173599;8047.541678025868;;;
2;946173604;;8047.541678025868;1.5076828674409626e-13;
2;946177199;8144.817167976957;;;
2;946177204;;8144.817167976957;0.0;
2;946180799;8198.717387487373;;;
2;946180804;;8198.717387487373;6.029066135226913e-13;
2;946184399;8396.165190324637;;;
2;946184404;;8396.165190324637;0.0;
2;946187999;8693.423510004155;;;
2;946188004;;8693.423510004155;0.0;
2;946191599;9085.261314806168;;;
2;946191604;;9085.261314806168;0.0;
2;946195199;15873.521185305377;;;
2;946195204;;15873.521185305377;1.0126330329818245e-11;
2;946198799;18001.646542917453;;;
2;946198804;;18001.646542917453;0.0;
2;946202399;18466.716605730147;;;
2;946202404;;18466.716605730147;1.949761185837673e-11;
2;946205999;18667.799671552395;;;
2;946206004;;18667.799671552395;1.0979127329502347e-11;
2;946209599;17228.42026248908;;;
2;946209604;;17228.42026248908;5.984428230743077e-12;
2;946213199;14884.029745828831;;;
2;946213204;;14884.029745828831;1.1536459287864176e-11;
2;946216799;11515.408637485936;;;
2;946216804;;11515.408637485936;1.247109360225096e-11;
2;946220399;8904.727494573546;;;
2;946220404;;8904.727494573546;1.2425206696864421e-11;
2;946223999;8428.635156172259;;;
2;946224004;;8428.635156172259;1.2666118154314177e-12;
2;946227599;8144.2334547029695;;;
2;946227604;;8144.2334547029695;0.0;
2;946231199;7995.195187739029;;;
2;946231204;;7995.195187739029;3.0531133177191805e-13;
2;946234799;7677.7408003152805;;;
2;946234804;;7677.7408003152805;7.48401340899818e-13;
2;946238399;7760.151038492231;;;
2;946238404;;7760.151038492231;0.0;
2;946241999;7723.60334878775;;;
2;946242004;;7723.60334878775;5.737285646567614e-13;
2;946245599;7648.1260427297875;;;
2;946245604;;7648.1260427297875;1.0850070841783577e-12;
2;946249199;7493.915301838273;;;
2;946249204;;7493.915301838273;4.198794090193303e-13;
2;946252799;7752.20137605844;;;
2;946252804;;7752.20137605844;0.0;
2;946256399;8117.490615408454;;;
2;946256404;;8117.490615408454;1.6946166692122233e-13;
2;946259999;8190.993350797178;;;
2;946260004;;8190.993350797178;4.3690051576561473e-13;
2;946263599;8334.080577769551;;;
2;946263604;;8334.080577769551;9.423850588774485e-13;
2;946267199;8038.747184895428;;;
2;946267204;;8038.747184895428;5.886124920806424e-13;
2;946270799;7835.490171591538;;;
2;946270804;;7835.490171591538;0.0;
2;946274399;7761.2836535782735;;;
2;946274404;;7761.2836535782735;4.720668300706166e-13;
2;946277999;9102.370805703255;;;
2;946278004;;9102.370805703255;0.0;
2;946281599;15029.144408926288;;;
2;946281604;;15029.144408926288;1.0516379433944678e-11;
2;946285199;17625.632494823978;;;
2;946285204;;17625.632494823978;0.0;
2;946288799;18110.92845421985;;;
2;946288804;;18110.92845421985;0.0;
2;946292399;19008.488608750802;;;
2;946292404;;19008.488608750802;0.0;
2;946295999;17942.81156172927;;;
2;946296004;;17942.81156172927;1.0374423542458544e-11;
2;946299599;15425.122284099634;;;
2;946299604;;15425.122284099634;2.1815049766615857e-11;
2;946303199;11287.706818987763;;;
2;946303204;;11287.706818987763;0.0;
2;946306799;7987.291777339031;;;
2;946306804;;7987.291777339031;1.0294098906626914e-11;
2;946310399;7685.370166147732;;;
2;946310404;;7685.370166147732;0.0;
2;946313999;8247.654969834157;;;
2;946314004;;8247.654969834157;2.69562150378988e-13;
2;946317599;8450.664016392046;;;
2;946317604;;8450.664016392046;0.0;
2;946321199;8270.189231994502;;;
2;946321204;;8270.189231994502;6.348810366318958e-13;
2;946324799;8233.268408189831;;;
2;946324804;;8233.268408189831;0.0;
2;946328399;8398.449551926919;;;
2;946328404;;8398.449551926919;0.0;
2;946331999;8050.088907045157;;;
2;946332004;;8050.088907045157;3.914646384828302e-13;
2;946335599;7839.662476068508;;;
2;946335604;;7839.662476068508;0.0;
2;946339199;7510.392019658418;;;
2;946339204;;7510.392019658418;0.0;
2;946342799;7068.357841639425;;;
2;946342804;;7068.357841639425;3.284872374109682e-14;
2;946346399;7219.782223037636;;;
2;946346404;;7219.782223037636;0.0;
2;946349999;7305.408434210333;;;
2;946350004;;7305.408434210333;1.7667811658128585e-13;
2;946353599;7098.6995709577905;;;
2;946353604;;7098.6995709577905;2.853273173286652e-14;
2;946357199;7200.802143595348;;;
2;946357204;;7200.802143595348;3.650829638601749e-13;
2;946360799;7521.541082716491;;;
2;946360804;;7521.541082716491;4.785061236134425e-14;
2;946364399;8531.486262200353;;;
2;946364404;;8531.486262200353;0.0;
2;946367999;15928.919119068722;;;
2;946368004;;15928.919119068722;0.0;
2;946371599;19808.663629794075;;;
2;946371604;;19808.663629794075;0.0;
2;946375199;20556.099552169504;;;
2;946375204;;20556.099552169504;1.8658075084942993e-11;
2;946378799;21608.05101965755;;;
2;946378804;;21608.05101965755;0.0;
2;946382399;20756.82423846666;;;
2;946382404;;20756.82423846666;0.0;
2;946385999;18789.808937011825;;;
2;946386004;;18789.808937011825;3.144701166135633e-11;
2;946389599;15669.95255721662;;;
2;946389604;;15669.95255721662;0.0;
2;946393199;14523.316017713727;;;
2;946393204;;14523.316017713727;0.0;
2;946396799;15737.481389892986;;;
2;946396804;;15737.481389892986;0.0;
2;946400399;17315.021250676386;;;
2;946400404;;17315.021250676386;2.2605251004392812e-12;
2;946403999;18234.27506491999;;;
2;946404004;;18234.27506491999;0.0;
2;946407599;18225.535466790738;;;
2;946407604;;18225.535466790738;8.079092950197264e-13;
2;946411199;18958.154049649234;;;
2;946411204;;18958.154049649234;2.7858826356919053e-12;
2;946414799;19208.273701978735;;;
2;946414804;;19208.273701978735;5.016764781373695e-12;
2;946418399;19323.550099115324;;;
2;946418404;;19323.550099115324;6.794564910705958e-13;
2;946421999;19449.491108766128;;;
2;946422004;;19449.491108766128;2.729816372948335e-12;
2;946425599;20126.19049996271;;;
2;946425604;;20126.19049996271;3.4031666373834923e-12;
2;946429199;20943.57140490457;;;
2;946429204;;20943.57140490457;3.3976155222603666e-12;
2;946432799;21063.20921709644;;;
2;946432804;;21063.20921709644;5.110023515442208e-12;
2;946436399;23080.834930886074;;;
2;946436404;;23080.834930886074;2.0399237854462626e-12;
2;946439999;25585.234614607125;;;
2;946440004;;25585.234614607125;0.0;
2;946443599;26769.178752336586;;;
2;946443604;;26769.178752336586;0.0;
2;946447199;28200.066802580677;;;
2;946447204;;28200.066802580677;0.0;
2;946450799;31002.365328898417;;;
2;946450804;;31002.365328898417;0.0;
2;946454399;35408.63594714357;;;
2;946454404;;35408.63594714357;3.6127545399722294e-11;
2;946457999;37889.4224969921;;;
2;946458004;;37889.4224969921;0.0;
2;946461599;37409.79164391082;;;
2;946461604;;37409.79164391082;0.0;
2;946465199;37655.683494009136;;;
2;946465204;;37655.683494009136;0.0;
2;946468799;38111.94841303128;;;
2;946468804;;38111.94841303128;4.904410211281629e-11;
2;946472399;37633.05174250297;;;
2;946472404;;37633.05174250297;0.0;
2;946475999;35116.572869566015;;;
2;946476004;;35116.572869566015;4.6709303092029586e-11;
2;946479599;32697.213663249044;;;
2;946479604;;32697.213663249044;3.391953384834778e-11;
2;946483199;32007.939073460195;;;
2;946483204;;32007.939073460195;0.0;
2;946486799;31155.404355713046;;;
2;946486804;;31155.404355713046;0.0;
2;946490399;31582.635898050503;;;
2;946490404;;31582.635898050503;0.0;
2;946493999;30983.433433457467;;;
2;946494004;;30983.433433457467;0.0;
2;946497599;29363.66572587789;;;
2;946497604;;29363.66572587789;0.0;
2;946501199;29668.967723043424;;;
2;946501204;;29668.967723043424;0.0;
2;946504799;29693.496920677757;;;
2;946504804;;29693.496920677757;0.0;
2;946508399;29055.536649908154;;;
2;946508404;;29055.536649908154;8.61866134016509e-13;
2;946511999;28137.19261622849;;;
2;946512004;;28137.19261622849;0.0;
2;946515599;27069.218007488053;;;
2;946515604;;27069.218007488053;1.7772450178199506e-12;
2;946519199;25948.775414022643;;;
2;946519204;;25948.775414022643;0.0;
2;946522799;26205.785137953353;;;
2;946522804;;26205.785137953353;0.0;
2;946526399;26323.110515609525;;;
2;946526404;;26323.110515609525;1.4960255256823984e-12;
2;946529999;25983.814060959452;;;
2;946530004;;25983.814060959452;0.0;
2;946533599;24492.162000647728;;;
2;946533604;;24492.162000647728;1.3911094498553211e-13;
2;946537199;24561.222814732566;;;
2;946537204;;24561.222814732566;0.0;
2;946540799;28935.5351835499;;;
2;946540804;;28935.5351835499;0.0;
2;946544399;31435.7753919109;;;
2;946544404;;31435.7753919109;3.3942182398050136e-11;
2;946547999;31007.411572226796;;;
2;946548004;;31007.411572226796;0.0;
2;946551599;30039.01510935403;;;
2;946551604;;30039.01510935403;0.0;
2;946555199;28842.54312644402;;;
2;946555204;;28842.54312644402;5.537459379922893e-12;
2;946558799;27316.82440784687;;;
2;946558804;;27316.82440784687;2.625055728344705e-11;
2;946562399;24588.760279438542;;;
2;946562404;;24588.760279438542;1.692179729673171e-11;
2;946565999;23281.26711691099;;;
2;946566004;;23281.26711691099;0.0;
2;946569599;23366.690426686848;;;
2;946569604;;23366.690426686848;2.1798118865490324e-12;
2;946573199;23360.190686850685;;;
2;946573204;;23360.190686850685;1.7773560401224131e-12;
2;946576799;23825.93919904355;;;
2;946576804;;23825.93919904355;0.0;
2;946580399;23583.878901981;;;
2;946580404;;23583.878901981;1.983413433492842e-12;
2;946583999;22516.640958157543;;;
2;946584004;;22516.640958157543;1.3082868122182845e-12;
2;946587599;21690.249031253294;;;
2;946587604;;21690.249031253294;4.360400929215302e-12;
2;946591199;22034.777307323293;;;
2;946591204;;22034.777307323293;0.0;
2;946594799;22022.976151798477;;;
2;946594804;;22022.976151798477;1.9229062786507711e-13;
2;946598399;22261.248236024527;;;
2;946598404;;22261.248236024527;3.2926994464332893e-12;
2;946601999;22013.119206289237;;;
2;946602004;;22013.119206289237;1.82576176399607e-12;
2;946605599;21546.845682997442;;;
2;946605604;;21546.845682997442;5.718758799844181e-13;
2;946609199;21993.272654193064;;;
2;946609204;;21993.272654193064;0.0;
2;946612799;21489.730734006145;;;
2;946612804;;21489.730734006145;1.4622747457337937e-12;
2;946616399;21067.728928287645;;;
2;946616404;;21067.728928287645;1.8962609260597674e-12;
2;946619999;20995.234784657554;;;
2;946620004;;20995.234784657554;9.342526752220692e-13;
2;946623599;21056.17808485364;;;
2;946623604;;21056.17808485364;4.896860694714178e-12;
2;946627199;24298.314827228547;;;
2;946627204;;24298.314827228547;0.0;
2;946630799;26883.76257661138;;;
2;946630804;;26883.76257661138;0.0;
2;946634399;26439.527094916128;;;
2;946634404;;26439.527094916128;0.0;
2;946637999;25975.832732303625;;;
2;946638004;;25975.832732303625;3.8451686279472597e-11;
2;946641599;26092.05652508744;;;
2;946641604;;26092.05652508744;0.0;
2;946645199;24901.533361206504;;;
2;946645204;;24901.533361206504;9.899747688280058e-12;
2;946648799;21360.322715503375;;;
2;946648804;;21360.322715503375;3.081768173984756e-11;
